calBP,PrDens,PrDens_Taphonomic,Site
49376,0.000446819,0.000282964,Border Cave
49375,0.000446819,0.000282956,Border Cave
49374,0.000446819,0.000282948,Border Cave
49373,0.000446819,0.000282941,Border Cave
49372,0.000446819,0.000282933,Border Cave
49371,0.000446819,0.000282925,Border Cave
49370,0.000446819,0.000282918,Border Cave
49369,0.000446819,0.00028291,Border Cave
49368,0.000446819,0.000282903,Border Cave
49367,0.000446819,0.000282895,Border Cave
49366,0.000446819,0.000282887,Border Cave
49365,0.000446819,0.00028288,Border Cave
49364,0.000446819,0.000282872,Border Cave
49363,0.000446819,0.000282864,Border Cave
49362,0.000446819,0.000282857,Border Cave
49361,0.000446819,0.000282849,Border Cave
49360,0.000446819,0.000282841,Border Cave
49359,0.000446819,0.000282834,Border Cave
49358,0.000446819,0.000282826,Border Cave
49357,0.000446819,0.000282818,Border Cave
49356,0.000446819,0.000282811,Border Cave
49355,0.000446819,0.000282803,Border Cave
49354,0.000446819,0.000282796,Border Cave
49353,0.000446819,0.000282788,Border Cave
49352,0.000446819,0.00028278,Border Cave
49351,0.000446819,0.000282773,Border Cave
49350,0.000446819,0.000282765,Border Cave
49349,0.000446819,0.000282757,Border Cave
49348,0.000446819,0.00028275,Border Cave
49347,0.000446819,0.000282742,Border Cave
49346,0.000446819,0.000282734,Border Cave
49345,0.000446819,0.000282727,Border Cave
49344,0.000446819,0.000282719,Border Cave
49343,0.000446819,0.000282712,Border Cave
49342,0.000446819,0.000282704,Border Cave
