"calBP","PrDens"
54677,1.82859077657391e-05
54676,1.82945038261403e-05
54675,1.83031062510171e-05
54674,1.83117150455223e-05
54673,1.83203302148129e-05
54672,1.83289517640497e-05
54671,1.83375796983978e-05
54670,1.83462140230262e-05
54669,1.83548547431075e-05
54668,1.83635018638187e-05
54667,1.83721553903404e-05
54666,1.83808153278579e-05
54665,1.83894816815598e-05
54664,1.83981544566389e-05
54663,1.8406833658292e-05
54662,1.84155192917199e-05
54661,1.84242113621276e-05
54660,1.84329098747239e-05
54659,1.84415084417766e-05
54658,1.84501126471106e-05
54657,1.84587224946894e-05
54656,1.84673379884784e-05
54655,1.84759591324461e-05
54654,1.84845859305636e-05
54653,1.84932183868043e-05
54652,1.85018565051445e-05
54651,1.85105002895626e-05
54650,1.85191497440399e-05
54649,1.85278048725604e-05
54648,1.85364656791105e-05
54647,1.85451321676792e-05
54646,1.85538043422578e-05
54645,1.85624822068408e-05
54644,1.85711657654247e-05
54643,1.85798550220091e-05
54642,1.85885499805958e-05
54641,1.85972506451892e-05
54640,1.86059570197964e-05
54639,1.86147833063867e-05
54638,1.86236161413989e-05
54637,1.86324555301257e-05
54636,1.86413014778646e-05
54635,1.86501539899164e-05
54634,1.86590130715863e-05
54633,1.86678787281835e-05
54632,1.86767509650211e-05
54631,1.86856297874166e-05
54630,1.86945152006914e-05
54629,1.87034072101707e-05
54628,1.87123058211842e-05
54627,1.87212110390652e-05
54626,1.87301228691515e-05
54625,1.87390413167849e-05
54624,1.8747966387311e-05
54623,1.87568980860798e-05
54622,1.87658364184448e-05
54621,1.87747813897645e-05
54620,1.87837330054008e-05
54619,1.87913935448366e-05
54618,1.87990588649068e-05
54617,1.88067289688476e-05
54616,1.88144038598967e-05
54615,1.88220835412944e-05
54614,1.88297680162827e-05
54613,1.88374572881055e-05
54612,1.88451513600094e-05
54611,1.88528502352424e-05
54610,1.88605539170552e-05
54609,1.88682624086999e-05
54608,1.88759757134308e-05
54607,1.88836938345049e-05
54606,1.88914167751804e-05
54605,1.88991445387182e-05
54604,1.89068771283809e-05
54603,1.89146145474331e-05
54602,1.89223567991421e-05
54601,1.89301038867763e-05
54600,1.89378558136072e-05
54599,1.89467970264369e-05
54598,1.89557441217725e-05
54597,1.89646971037367e-05
54596,1.89736559764543e-05
54595,1.89826207440532e-05
54594,1.89915914106638e-05
54593,1.90005679804191e-05
54592,1.9009550457455e-05
54591,1.90185388459094e-05
54590,1.90275331499235e-05
54589,1.90365333736408e-05
54588,1.90455395212075e-05
54587,1.90545515967728e-05
54586,1.90635696044877e-05
54585,1.90725935485065e-05
54584,1.90816234329861e-05
54583,1.90906592620859e-05
54582,1.90997010399681e-05
54581,1.91087487707971e-05
54580,1.91178024587405e-05
54579,1.91234147052012e-05
54578,1.91290308380294e-05
54577,1.91346508601146e-05
54576,1.91402747743487e-05
54575,1.91459025836254e-05
54574,1.91515342908409e-05
54573,1.91571698988932e-05
54572,1.91628094106823e-05
54571,1.91684528291107e-05
54570,1.91741001570826e-05
54569,1.91797513975046e-05
54568,1.91854065532851e-05
54567,1.9191065627335e-05
54566,1.9196728622567e-05
54565,1.92023955418959e-05
54564,1.92080663882389e-05
54563,1.9213741164515e-05
