"calBP","PrDens"
54543,4.31016563184222e-05
54542,4.31077320447774e-05
54541,4.31138083470648e-05
54540,4.3119885225151e-05
54539,4.31249101949018e-05
54538,4.31299356100027e-05
54537,4.31349614703681e-05
54536,4.31399877759124e-05
54535,4.31450145265498e-05
54534,4.31500417221944e-05
54533,4.31550693627605e-05
54532,4.31600974481622e-05
54531,4.31651259783134e-05
54530,4.31701549531282e-05
54529,4.31751843725205e-05
54528,4.31802142364041e-05
54527,4.31852445446929e-05
54526,4.31902752973006e-05
54525,4.31953064941409e-05
54524,4.32003381351274e-05
54523,4.32053702201738e-05
54522,4.32104027491935e-05
54521,4.32154357221001e-05
54520,4.3220469138807e-05
54519,4.32255029992274e-05
54518,4.32305373032747e-05
54517,4.32355720508622e-05
54516,4.3240607241903e-05
54515,4.32456428763103e-05
54514,4.32506789539972e-05
54513,4.32557154748766e-05
54512,4.32607524388615e-05
54511,4.32657898458649e-05
54510,4.32708276957995e-05
54509,4.32758659885782e-05
54508,4.32809047241136e-05
54507,4.32859439023186e-05
54506,4.32909835231056e-05
54505,4.32960235863873e-05
54504,4.33010640920762e-05
54503,4.33061050400847e-05
54502,4.33111464303252e-05
54501,4.33161882627101e-05
54500,4.33212305371516e-05
54499,4.33257843984662e-05
54498,4.33303386010115e-05
54497,4.33348931447259e-05
54496,4.33394480295487e-05
54495,4.33440032554186e-05
54494,4.33485588222743e-05
54493,4.33531147300548e-05
54492,4.33576709786986e-05
54491,4.33622275681446e-05
54490,4.33667844983314e-05
54489,4.33713417691977e-05
54488,4.33758993806821e-05
54487,4.33804573327231e-05
54486,4.33850156252594e-05
54485,4.33895742582294e-05
54484,4.33941332315716e-05
54483,4.33986925452245e-05
54482,4.34032521991264e-05
54481,4.34078121932158e-05
54480,4.34123725274309e-05
54479,4.34174229959841e-05
54478,4.34224739048535e-05
54477,4.34275252539504e-05
54476,4.34325770431857e-05
54475,4.34376292724704e-05
54474,4.34426819417156e-05
54473,4.34477350508321e-05
54472,4.34527885997308e-05
54471,4.34578425883223e-05
54470,4.34628970165175e-05
54469,4.3467951884227e-05
54468,4.34730071913613e-05
54467,4.34780629378311e-05
54466,4.34831191235469e-05
54465,4.3488175748419e-05
54464,4.34932328123578e-05
54463,4.34982903152737e-05
54462,4.35033482570769e-05
54461,4.35084066376776e-05
54460,4.35134654569861e-05
54459,4.3517467573773e-05
54458,4.35214700187665e-05
54457,4.35254727919118e-05
54456,4.35294758931545e-05
54455,4.35334793224399e-05
54454,4.35374830797133e-05
54453,4.35414871649201e-05
54452,4.35454915780055e-05
54451,4.35494963189147e-05
54450,4.3553501387593e-05
54449,4.35575067839855e-05
54448,4.35615125080373e-05
54447,4.35655185596935e-05
54446,4.35695249388992e-05
54445,4.35735316455995e-05
54444,4.35775386797392e-05
54443,4.35815460412634e-05
54442,4.35855537301169e-05
54441,4.35895617462447e-05
54440,4.35935700895917e-05
54439,4.35975787601026e-05
54438,4.36015877577221e-05
54437,4.36055970823951e-05
54436,4.36096067340663e-05
54435,4.36136167126804e-05
54434,4.36176270181819e-05
54433,4.36216376505155e-05
54432,4.36256486096258e-05
54431,4.36296598954573e-05
54430,4.36336715079545e-05
54429,4.36376834470619e-05
54428,4.36416957127239e-05
54427,4.36457083048849e-05
54426,4.36497212234893e-05
54425,4.36537344684814e-05
54424,4.36577480398055e-05
54423,4.36617619374059e-05
54422,4.36657761612267e-05
54421,4.36697907112122e-05
54420,4.36738055873066e-05
54419,4.3678313493547e-05
54418,4.36828218241434e-05
54417,4.36873305790136e-05
54416,4.36918397580754e-05
54415,4.36963493612462e-05
54414,4.37008593884438e-05
54413,4.37053698395858e-05
54412,4.37098807145895e-05
54411,4.37143920133724e-05
54410,4.37189037358519e-05
54409,4.37234158819453e-05
54408,4.37279284515698e-05
54407,4.37324414446426e-05
54406,4.37369548610808e-05
54405,4.37414687008015e-05
54404,4.37459829637216e-05
54403,4.37504976497582e-05
54402,4.37550127588281e-05
54401,4.37595282908481e-05
54400,4.3764044245735e-05
54399,4.37670065728429e-05
54398,4.37699691330227e-05
54397,4.37729319262431e-05
54396,4.37758949524727e-05
54395,4.37788582116802e-05
54394,4.37818217038344e-05
54393,4.37847854289037e-05
54392,4.37877493868569e-05
54391,4.37907135776624e-05
54390,4.3793678001289e-05
54389,4.37966426577052e-05
54388,4.37996075468793e-05
54387,4.38025726687802e-05
54386,4.3805538023376e-05
54385,4.38085036106354e-05
54384,4.38114694305268e-05
54383,4.38144354830186e-05
54382,4.38174017680793e-05
54381,4.38203682856771e-05
54380,4.38233350357806e-05
54379,4.38267965380536e-05
54378,4.38302583566992e-05
54377,4.38337204916671e-05
54376,4.38371829429068e-05
54375,4.38406457103679e-05
54374,4.3844108794e-05
54373,4.38475721937526e-05
54372,4.38510359095753e-05
54371,4.38544999414173e-05
54370,4.38579642892281e-05
54369,4.38614289529572e-05
54368,4.38648939325537e-05
54367,4.38683592279671e-05
54366,4.38718248391464e-05
54365,4.38752907660411e-05
54364,4.38787570086001e-05
54363,4.38822235667727e-05
54362,4.38856904405081e-05
54361,4.38891576297551e-05
54360,4.38926251344628e-05
54359,4.389556190873e-05
54358,4.38984989524609e-05
54357,4.39014362656183e-05
54356,4.39043738481645e-05
54355,4.39073117000622e-05
54354,4.39102498212739e-05
54353,4.39131882117619e-05
54352,4.39161268714889e-05
54351,4.39190658004171e-05
54350,4.3922004998509e-05
54349,4.39249444657269e-05
54348,4.3927884202033e-05
54347,4.39308242073898e-05
54346,4.39337644817595e-05
54345,4.39367050251043e-05
54344,4.39396458373864e-05
54343,4.39425869185679e-05
54342,4.39455282686111e-05
54341,4.39484698874779e-05
54340,4.39514117751307e-05
